Asal,Tujuan,Jumlah (Ton),Biaya per Ton,Total Biaya
Surabaya,Surabaya,9259.36,0.0,0.0
Gresik,Surabaya,224984.02,63252.0,14230689233.039999
Sidoarjo,Sidoarjo,158774.13,0.0,0.0
Mojokerto,Mojokerto,195876.54,0.0,0.0
Mojokerto,Malang,213486.58,302204.0,64516498422.32
Jombang,Mojokerto,59575.46,105420.0,6280444993.2
Jombang,Jombang,137061.0,0.0,0.0
Bojonegoro,Bojonegoro,135792.0,0.0,0.0
Lamongan,Surabaya,30699.23,158130.0,4854469239.9
Lamongan,Gresik,141465.0,94878.0,13421916270.0
Lamongan,Sidoarjo,82633.87,238952.0,19745528504.239998
Lamongan,Lamongan,129472.0,0.0,0.0
Tuban,Tuban,127223.0,0.0,0.0
Madiun,Madiun,167646.0,0.0,0.0
Ngawi,Ngawi,90401.0,0.0,0.0
Magetan,Magetan,68489.0,0.0,0.0
Ponorogo,Ponorogo,94817.0,0.0,0.0
Ponorogo,Pacitan,3003.86,274092.0,823333995.12
Pacitan,Pacitan,57371.14,0.0,0.0
Kediri,Kediri,287785.18,0.0,0.0
Nganjuk,Kediri,84855.82,98392.0,8349133841.440001
Nganjuk,Nganjuk,114551.0,0.0,0.0
Tulungagung,Tulungagung,112742.0,0.0,0.0
Tulungagung,Malang,25999.09,390054.0,10141049050.86
Blitar,Blitar,267458.0,0.0,0.0
Blitar,Malang,22472.3,274092.0,6159477651.599999
Trenggalek,Trenggalek,75674.0,0.0,0.0
Malang,Malang,376073.16,0.0,0.0
Pasuruan,Malang,20785.87,193270.0,4017285094.8999996
Pasuruan,Pasuruan,373768.0,0.0,0.0
Probolinggo,Probolinggo,229587.2,0.0,0.0
Lumajang,Probolinggo,49126.8,161644.0,7941052459.200001
Lumajang,Lumajang,113233.0,0.0,0.0
Bondowoso,Bondowoso,84105.0,0.0,0.0
Situbondo,Situbondo,74048.0,0.0,0.0
Jember,Jember,265792.0,0.0,0.0
Banyuwangi,Banyuwangi,175295.0,0.0,0.0
Bangkalan,Surabaya,49298.39,98392.0,4850567188.88
Bangkalan,Bangkalan,106604.0,0.0,0.0
Sampang,Sampang,105473.0,0.0,0.0
Sampang,Pamekasan,15455.94,115962.0,1792301714.28
Pamekasan,Pamekasan,73040.6,0.0,0.0
Sumenep,Pamekasan,6410.46,182728.0,1171370534.88
Sumenep,Sumenep,118181.0,0.0,0.0
