kota,produksi_ton
Surabaya,9259.36
Gresik,224984.02
Sidoarjo,158774.13
Mojokerto,409363.12
Jombang,251896.77
Bojonegoro,481382.82
Lamongan ,573588.87
Tuban,360945.04
Madiun ,523525.09
Ngawi,477704.04
Magetan,185166.52
Ponorogo,241335.26
Pacitan,57371.14
Kediri,287785.18
Nganjuk,252927.86
Tulungagung,138741.09
Blitar,289930.30
Trenggalek ,77131.59
Malang,376073.16
Pasuruan ,394553.87
Probolinggo,229587.20
Lumajang,198778.34
Bondowoso,162378.43
Situbondo,112302.64
Jember,440631.34
Banyuwangi,329144.06
Bangkalan,155902.39
Sampang,120928.94
Pamekasan,73040.60
Sumenep,165224.91
